type,lat,lon,tags,lighting_level,police_near,cctv_count,crime_reports,safety_score,street_name,area_name
police,13.0181973,77.5581675,"{'amenity': 'police', 'check_date': '2025-08-21', 'name': 'DCP Bangalore North Traffic Police', 'wheelchair': 'no'}",5,1,0,2,0.68,8th Main Road,Bengaluru
police,12.9285653,77.5813657,"{'amenity': 'police', 'name': 'Jayanagar 4th Block Police Station', 'name:kn': 'ಜಯನಗರ ನಾಲ್ಕನೇ ಹಂತ ಪೋಲೀಸ್ ಠಾಣೆ'}",5,1,0,4,0.56,Vinayaka Devalaya Road,Jayanagar 4th Block Police Station
street_lamp,13.0375738,77.6291879,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'operator': 'BESCOM', 'power': 'pole', 'working': 'yes'}",10,0,0,1,0.64,,Bengaluru
police,12.9762399,77.5983458,"{'amenity': 'police', 'name': 'Cubbon Park Police Station', 'name:kn': 'ಕಬ್ಬನ್ ಪಾರ್ಕ್ ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,4,0.56,Kasturba Road,Bengaluru
police,12.9966811,77.5696708,"{'amenity': 'police', 'name': 'Maleshwaram Police station', 'name:kn': 'ಮಲೇಶ್ವರಂ ಆರಕ್ಷಕ ಠಾಣೆ', 'wheelchair': 'no'}",5,1,0,1,0.74,Malleshwaram Underpass,Bengaluru
police,13.0486481,77.5495673,"{'amenity': 'police', 'name': 'Jalahalli Police Station', 'name:kn': 'ಜಾಲಹಳ್ಳಿ ಆರಕ್ಷಕ ಠಾಣೆ', 'wheelchair': 'no'}",5,1,0,3,0.62,HMT Main Road,Bengaluru
police,12.9854915,77.5425698,"{'amenity': 'police', 'name': 'Basaveshwaranagar Police Station', 'name:kn': 'ಬಸವೇಶ್ವರ ನಗರ ಆರಕ್ಷಕ ಠಾಣೆ', 'wheelchair': 'yes'}",5,1,0,1,0.74,Basaveshwaranagar Main Road,Bengaluru
police,12.9695368,77.5877623,"{'amenity': 'police', 'name': 'Police Headquarters'}",5,1,0,2,0.68,Nrupatunga Road,Bengaluru
surveillance,12.9779004,77.584168,"{'camera:direction': '318', 'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",5,0,1,3,0.32,,Bengaluru
police,12.928367,77.5905691,"{'addr:street': 'Tilak Nagar Main Road', 'amenity': 'police', 'name': 'Tilaknagar Police Station', 'name:kn': 'ತಿಲಕ್ ನಗರ ಪೋಲಿಸ್ ಟಾಣೆ'}",5,1,0,4,0.56,Tilak Nagar Main Road,Tilaknagar Police Station
police,12.983019,77.6384106,"{'amenity': 'police', 'name': 'Indira Nagar Police Station', 'name:kn': 'ಇಂದಿರಾನಗರ ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,3,0.62,Swamy Vivekananda Road,Bengaluru
police,12.9086369,77.6105652,"{'amenity': 'police', 'name': 'Mico Layout Police Station', 'name:kn': 'ಮಿಕೋ ಬಡಾವಣೆ ಆರಕ್ಷಕ', 'wheelchair': 'yes'}",5,1,0,4,0.56,16th Main Road,Mico Layout Police Station
police,12.935917,77.5439681,"{'amenity': 'police', 'name': 'Girinagar Police Station', 'name:kn': 'ಗಿರಿನಗರ ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,1,0.74,1st Cross Road,Girinagar Police Station
police,13.0335598,77.5758979,"{'amenity': 'police', 'name': 'Sanjayanagar Police station', 'name:kn': 'ಸಂಜಯನಗರ ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,0,0.8,Sanjaynagar Main Road,Bengaluru
police,12.9881279,77.5744324,"{'amenity': 'police', 'check_date': '2024-03-02', 'name': 'Seshadripuram Police Station', 'name:kn': 'ಶೇಶಾದ್ರಿಪುರಮ್ ಆರಕ್ಷಕ ಠಾಣೆ', 'wheelchair': 'no'}",5,1,0,1,0.74,Subedar Chatram Road,Bengaluru
police,12.9945063,77.554298,"{'amenity': 'police', 'check_date': '2025-03-18', 'name': 'Rajaji Nagar Police Station', 'name:kn': 'ರಾಜಾಜಿನಗರ ಆರಕ್ಷಕ ಠಾಣೆ', 'name:ta': 'ராஜாஜிநகர காவல் நிலையம்'}",5,1,0,3,0.62,12th Main Road,Bengaluru
police,13.0386192,77.5896244,"{'amenity': 'police', 'building': 'yes', 'name': 'Hebbal Police Station', 'name:kn': 'ಹೆಬ್ಬಾಳ ಆರಕ್ಷಕ ಠಾಣೆ', 'wheelchair': 'no'}",5,1,0,4,0.56,3rd Main Road,Bengaluru
police,13.0015732,77.578628,"{'amenity': 'police', 'name': 'Vyali Kaval Police Station', 'name:kn': 'ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,0,0.8,Vyalikaval Main Road,Bengaluru
police,12.9363435,77.5615008,"{'amenity': 'police', 'name': 'Police Station', 'name:kn': 'ಆರಕ್ಷಕ ಠಾಣೆ', 'operator': 'Karnataka Police Department'}",5,1,0,1,0.74,11th Cross Road,Bengaluru
police,12.9825702,77.6070982,"{'addr:city': 'Bangalore', 'addr:housename': 'Shivajinagar', 'addr:street': 'Commercial Street', 'amenity': 'police', 'name': 'Commercial Street Police Station', 'name:kn': 'ಕಮರ್ಷಿಯಲ್ ರಸ್ತೆ ಆರಕ್ಷಕ ಠಾಣೆ', 'wheelchair': 'no'}",5,1,0,4,0.56,Commercial Street,Bangalore
